TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"C-2011419","Magic","8th Edition","Merchant Scroll","Purplemana SKU: [XX-01305-56256]","91","U","Lightly Played","","","","","1","0","51.7500","https://static.tcgplayer.com/68554872-4900-40B0-9479-54B68554989D"
"C-2014413","Magic","9th Edition","Lord of the Undead","Purplemana SKU: [PL-01282-54628]","143","R","Lightly Played","","","","","1","0","20.7000","https://static.tcgplayer.com/47438858-9B99-48DF-AA6E-918CC4851AC6"
"C-2013518","Magic","Adventures in the Forgotten Realms","Old Gnawbone","Purplemana SKU: [AM-01313-56575]","197","M","Lightly Played","","","","","1","0","28.7500","https://static.tcgplayer.com/B6DD6B01-C0D4-47F8-8776-1BACD2806D71"
"C-2014337","Magic","AFR Ampersand Promos","Delina, Wild Mage","Purplemana SKU: [XX-01262-54019]","138","R","Lightly Played Foil","","","","","1","0","26.4400","https://static.tcgplayer.com/3F61BB40-AD22-4040-83C4-EB4B75A46169"
"C-2014364","Magic","AFR Ampersand Promos","Dungeon Descent","Purplemana SKU: [XX-01262-54022]","255","R","Near Mint Foil","","","","","1","0","21.8500","https://static.tcgplayer.com/53305D43-2C56-4E4A-A5E2-C70D29FF8CE2"
"C-2011393","Magic","AFR Ampersand Promos","Icingdeath, Frost Tyrant","Purplemana SKU: [XX-01262-53981]","20","M","Lightly Played Foil","","","","","1","0","143.7500","https://static.tcgplayer.com/13FDDC26-81C0-40E8-B917-64DB3C9C66CB"
"C-1999134","Magic","AFR Ampersand Promos","Inferno of the Star Mounts","Purplemana SKU: [XX-01262-53980]","151","M","Near Mint Foil","","","","","1","0","195.5000","https://static.tcgplayer.com/A1F604DC-99AB-40A7-81DD-CE7F972B81A9"
"C-1999139","Magic","AFR Ampersand Promos","Old Gnawbone","Purplemana SKU: [XX-01262-53979]","197","M","Lightly Played Foil","","","","","1","0","184.0000","https://static.tcgplayer.com/FDE0F111-66D3-46CC-9341-4EE4EADBFCAD"
"C-1973652","Magic","AFR Ampersand Promos","Tiamat","Purplemana SKU: [XX-01262-53978]","235","M","Lightly Played Foil","","","","","1","0","389.0000","https://static.tcgplayer.com/315C7AFE-D3F5-4193-9180-2341374657EA"
"C-2014362","Magic","AFR Ampersand Promos","Werewolf Pack Leader","Purplemana SKU: [XX-01262-54059]","211","R","Lightly Played Foil","","","","","1","0","22.9900","https://static.tcgplayer.com/BE2FE636-58B1-4F63-A3A1-E8536773CCC7"
